,Id,Name,file_id,text
0,c0,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,indemnity costs
1,c1,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,calderbank letter
2,c2,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,refusal of offer
3,c3,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,whether refusal unreasonable
4,c4,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,variety of factors relevant to assessment of unreasonableness
5,c5,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,indemnity costs refused
6,c6,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,costs
7,s0,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,  1 On 17 April 2008 the application brought by the University of Western Australia (UWA) against Dr Bruce Gray and Sirtex Medical Ltd (Sirtex) was dismissed.
8,s1,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,UWA was ordered to pay the costs of Dr Gray and Sirtex.
9,s2,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,A cross-claim brought by Sirtex against UWA was dismissed and Sirtex ordered to pay UWA's costs of that cross-claim.
10,s3,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,Sirtex succeeded in its cross-claim against Dr Gray.
11,s4,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,2 Paragraphs 14 and 15 of the Orders made on 17 April 2008 provided:    14.
12,s5,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,Any party in respect of whom an order for costs has been made in the preceding orders is at liberty to file and serve written submissions on or before 8 May 2008 seeking a variation of the costs order.
13,s6,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,15.
14,s7,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,Any party who wishes to respond to a written submission filed pursuant to the preceding order is to do so by filing and serving a written submission by 29 May 2008.
15,s8,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml," 3 On 12 May 2008 Sirtex filed a motion seeking the following orders:    1.1 that Order 2 of his Honour Justice French, made on 17 April 2008, be amended to read as follows:   ""Applicant pay the first and second respondent's costs of the application and the applicant pay the second respondents' costs of the application on an indemnity basis from 19 March 2007."
16,s9,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,""" [sic]  1.2 Applicant pay the second respondent's costs of this motion on an indemnity basis."
17,s10,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,1.3 Any other order that the Court sees fit.
18,s11,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml," In support of its motion, Sirtex filed an affidavit of Timothy Randle Price sworn 12 May 2008."
19,s12,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,That affidavit concerned settlement negotiations between UWA and Sirtex which had occurred in 2007 prior to the commencement of the hearing.
20,s13,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,4 By way of background the solicitors for UWA had sent an open settlement offer to Sirtex on 5 September 2006.
21,s14,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,The letter of offer was exhibit 243A at trial.
22,s15,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"In substance the letter proposed that UWA would licence Sirtex, on a world-wide basis, to exploit the patents in contention, the licence to be retroactive to 29 April 1997."
23,s16,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,A discounted licence fee would be payable.
24,s17,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,UWA would be recorded as owner of the patents.
25,s18,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,A 4% royalty on the net price of products using or embodying any claim of any one or more of the patents was proposed.
26,s19,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,The UWA proceedings against Sirtex would be discontinued with no order as to costs.
27,s20,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,UWA required that Sirtex cooperate with it in the further conduct of the proceedings against Dr Gray.
28,s21,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,The offer was accompanied by contentions that the directors of Sirtex were aware at all material times of UWA's interest in the intellectual property.
29,s22,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,The offer was not accepted.
30,s23,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"5 The trial was scheduled to begin in the week commencing Monday, 12 March 2007."
31,s24,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"On Saturday, 10 March 2007, the solicitors for UWA again wrote to the solicitors for Sirtex making an ""Open Offer""."
32,s25,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,The offer was in the following terms:  The University offers to fully and finally settle with Sirtex Medical Limited (Sirtex) the above named proceedings on the following basis:   1.
33,s26,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"Within 14 days of the date of settlement, Sirtex to pay the University the sum of AUD$1.25 million dollars; [sic] and   2."
34,s27,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"Within 30 days of settlement, Sirtex to allot and issue to the University fully paid ordinary shares in Sirtex ranking pari passu with all existing fully paid shares to the value of AUD$3 million dollars [sic] based upon the VWAP selling price for Sirtex shares for 14 trading days immediately prior to completion of the allotment and issue, which allotment is to provide a fund for the establishment of a scholarship within the University sufficient for an annual award at University Postgraduate Award rates for the purpose of encouraging students to undertake research in an area of biomedical science ( the Sirtex Scholarship );   ...  The offer went on to set out the conditions upon which the Sirtex scholarship would be awarded."
35,s28,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,It then continued:   4.
36,s29,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,The proceedings in WAD 292 of 2004 in so far as they subsist between the University and Sirtex to be discontinued with no order as to costs.
37,s30,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,5.
38,s31,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,A Deed of Release to be executed by the University and Sirtex under which both parties will irrevocably release each other from all claims made against each other in the Proceedings.
39,s32,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,6.
40,s33,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"It is a condition precedent to settlement in accordance with this offer that Sirtex withdraws its opposition to the implementation of the settlement between the University and the Cancer Research Institute Inc, which was approved by the Federal Court of Australia on 9 March 2007."
41,s34,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,7.
42,s35,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,This offer is an open offer and may be withdrawn at any time prior to acceptance by notice in writing served by the University upon Sirtex or its legal representatives in the proceedings.
43,s36,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml," The letter, like its predecessor in September 2006, alleged that, although investors in Sirtex had been innocent of UWA's interest in its intellectual property, the directors were aware of that interest."
44,s37,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"6 Sirtex responded to UWA's offer through its solicitors by a letter dated 14 March 2007, the day prior to the actual commencement of the trial."
45,s38,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,In that letter Sirtex responded to the allegations about the awareness of its directors which UWA had made in its letter of 10 March 2007.
46,s39,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,"Sirtex said, in its letter, that it was inappropriate for UWA to make such allegations as there was no evidence to support them."
47,s40,University of Western Australia v Gray (No 21) [2008] FCA 1056 (16 July 2008),08_1056.xml,Sirtex nevertheless indicated that it was prepared to resolve the dispute on the terms set out in an attached Deed of Settlement.
