,Id,file_id,words
0,c4,08_1056.xml,"[2165, 3, 3355, 4908, 4]"
1,c4,08_1056.xml,"[3, 3355, 4908, 4, 4193]"
2,c4,08_1056.xml,"[3355, 4908, 4, 4193, 3]"
3,c4,08_1056.xml,"[4908, 4, 4193, 3, 213146]"
4,s0,08_1056.xml,"[176, 13, 759, 396, 584]"
5,s0,08_1056.xml,"[13, 759, 396, 584, 0]"
6,s0,08_1056.xml,"[759, 396, 584, 0, 3250]"
7,s0,08_1056.xml,"[396, 584, 0, 3250, 845]"
8,s0,08_1056.xml,"[584, 0, 3250, 845, 21]"
9,s0,08_1056.xml,"[0, 3250, 845, 21, 0]"
10,s0,08_1056.xml,"[3250, 845, 21, 0, 221]"
11,s0,08_1056.xml,"[845, 21, 0, 221, 3]"
12,s0,08_1056.xml,"[21, 0, 221, 3, 556]"
13,s0,08_1056.xml,"[0, 221, 3, 556, 603]"
14,s0,08_1056.xml,"[221, 3, 556, 603, 201534]"
15,s0,08_1056.xml,"[3, 556, 603, 201534, 98]"
16,s0,08_1056.xml,"[556, 603, 201534, 98, 6456]"
17,s0,08_1056.xml,"[603, 201534, 98, 6456, 3965]"
18,s0,08_1056.xml,"[201534, 98, 6456, 3965, 3850]"
19,s0,08_1056.xml,"[98, 6456, 3965, 3850, 5]"
20,s0,08_1056.xml,"[6456, 3965, 3850, 5, 201534]"
21,s0,08_1056.xml,"[3965, 3850, 5, 201534, 749]"
22,s0,08_1056.xml,"[3850, 5, 201534, 749, 8196]"
23,s0,08_1056.xml,"[5, 201534, 749, 8196, 201534]"
24,s0,08_1056.xml,"[201534, 749, 8196, 201534, 15]"
25,s0,08_1056.xml,"[749, 8196, 201534, 15, 201534]"
26,s1,08_1056.xml,"[69579, 15, 1298, 4, 642]"
27,s1,08_1056.xml,"[15, 1298, 4, 642, 0]"
28,s1,08_1056.xml,"[1298, 4, 642, 0, 1138]"
29,s1,08_1056.xml,"[4, 642, 0, 1138, 3]"
30,s1,08_1056.xml,"[642, 0, 1138, 3, 6456]"
31,s1,08_1056.xml,"[0, 1138, 3, 6456, 3850]"
32,s1,08_1056.xml,"[1138, 3, 6456, 3850, 5]"
33,s1,08_1056.xml,"[3, 6456, 3850, 5, 201534]"
34,s2,08_1056.xml,"[7, 201534, 845, 21, 201534]"
35,s2,08_1056.xml,"[201534, 845, 21, 201534, 98]"
36,s2,08_1056.xml,"[845, 21, 201534, 98, 69579]"
37,s2,08_1056.xml,"[21, 201534, 98, 69579, 15]"
38,s2,08_1056.xml,"[201534, 98, 69579, 15, 2869]"
39,s2,08_1056.xml,"[98, 69579, 15, 2869, 5]"
40,s2,08_1056.xml,"[69579, 15, 2869, 5, 201534]"
41,s2,08_1056.xml,"[15, 2869, 5, 201534, 1298]"
42,s2,08_1056.xml,"[2869, 5, 201534, 1298, 4]"
43,s2,08_1056.xml,"[5, 201534, 1298, 4, 642]"
44,s2,08_1056.xml,"[201534, 1298, 4, 642, 201534]"
45,s2,08_1056.xml,"[1298, 4, 642, 201534, 1138]"
46,s2,08_1056.xml,"[4, 642, 201534, 1138, 3]"
47,s2,08_1056.xml,"[642, 201534, 1138, 3, 12]"
48,s2,08_1056.xml,"[201534, 1138, 3, 12, 201534]"
49,s3,08_1056.xml,"[201534, 3661, 6, 47, 201534]"
50,s3,08_1056.xml,"[3661, 6, 47, 201534, 98]"
51,s3,08_1056.xml,"[6, 47, 201534, 98, 6456]"
52,s3,08_1056.xml,"[47, 201534, 98, 6456, 201534]"
53,s4,08_1056.xml,"[232, 30588, 657, 5, 404]"
54,s4,08_1056.xml,"[30588, 657, 5, 404, 3]"
55,s4,08_1056.xml,"[657, 5, 404, 3, 0]"
56,s4,08_1056.xml,"[5, 404, 3, 0, 1949]"
57,s4,08_1056.xml,"[404, 3, 0, 1949, 116]"
58,s4,08_1056.xml,"[3, 0, 1949, 116, 13]"
59,s4,08_1056.xml,"[0, 1949, 116, 13, 759]"
60,s4,08_1056.xml,"[1949, 116, 13, 759, 396]"
61,s4,08_1056.xml,"[116, 13, 759, 396, 584]"
62,s4,08_1056.xml,"[13, 759, 396, 584, 201534]"
63,s4,08_1056.xml,"[759, 396, 584, 201534, 201534]"
64,s5,08_1056.xml,"[130, 165, 6, 1983, 3]"
65,s5,08_1056.xml,"[165, 6, 1983, 3, 1231]"
66,s5,08_1056.xml,"[6, 1983, 3, 1231, 29]"
67,s5,08_1056.xml,"[1983, 3, 1231, 29, 460]"
68,s5,08_1056.xml,"[3, 1231, 29, 460, 10]"
69,s5,08_1056.xml,"[1231, 29, 460, 10, 1138]"
70,s5,08_1056.xml,"[29, 460, 10, 1138, 31]"
71,s5,08_1056.xml,"[460, 10, 1138, 31, 51]"
72,s5,08_1056.xml,"[10, 1138, 31, 51, 116]"
73,s5,08_1056.xml,"[1138, 31, 51, 116, 6]"
74,s5,08_1056.xml,"[31, 51, 116, 6, 0]"
75,s5,08_1056.xml,"[51, 116, 6, 0, 10998]"
76,s5,08_1056.xml,"[116, 6, 0, 10998, 1949]"
77,s5,08_1056.xml,"[6, 0, 10998, 1949, 14]"
78,s5,08_1056.xml,"[0, 10998, 1949, 14, 22]"
79,s5,08_1056.xml,"[10998, 1949, 14, 22, 5092]"
80,s5,08_1056.xml,"[1949, 14, 22, 5092, 4]"
81,s5,08_1056.xml,"[14, 22, 5092, 4, 2854]"
82,s5,08_1056.xml,"[22, 5092, 4, 2854, 5]"
83,s5,08_1056.xml,"[5092, 4, 2854, 5, 1367]"
84,s5,08_1056.xml,"[4, 2854, 5, 1367, 982]"
85,s5,08_1056.xml,"[2854, 5, 1367, 982, 22762]"
86,s5,08_1056.xml,"[5, 1367, 982, 22762, 13]"
87,s5,08_1056.xml,"[1367, 982, 22762, 13, 46]"
88,s5,08_1056.xml,"[982, 22762, 13, 46, 106]"
89,s5,08_1056.xml,"[22762, 13, 46, 106, 652]"
90,s5,08_1056.xml,"[13, 46, 106, 652, 107]"
91,s5,08_1056.xml,"[46, 106, 652, 107, 584]"
92,s5,08_1056.xml,"[106, 652, 107, 584, 1309]"
93,s5,08_1056.xml,"[652, 107, 584, 1309, 7]"
94,s5,08_1056.xml,"[107, 584, 1309, 7, 9321]"
95,s5,08_1056.xml,"[584, 1309, 7, 9321, 3]"
96,s5,08_1056.xml,"[1309, 7, 9321, 3, 0]"
97,s5,08_1056.xml,"[7, 9321, 3, 0, 1138]"
98,s5,08_1056.xml,"[9321, 3, 0, 1138, 201534]"
99,s7,08_1056.xml,"[130, 165, 38, 6694, 4]"
100,s7,08_1056.xml,"[165, 38, 6694, 4, 3360]"
101,s7,08_1056.xml,"[38, 6694, 4, 3360, 4]"
102,s7,08_1056.xml,"[6694, 4, 3360, 4, 7]"
103,s7,08_1056.xml,"[4, 3360, 4, 7, 982]"
104,s7,08_1056.xml,"[3360, 4, 7, 982, 13395]"
105,s7,08_1056.xml,"[4, 7, 982, 13395, 1450]"
106,s7,08_1056.xml,"[7, 982, 13395, 1450, 29136]"
107,s7,08_1056.xml,"[982, 13395, 1450, 29136, 4]"
108,s7,08_1056.xml,"[13395, 1450, 29136, 4, 0]"
109,s7,08_1056.xml,"[1450, 29136, 4, 0, 10998]"
110,s7,08_1056.xml,"[29136, 4, 0, 10998, 460]"
111,s7,08_1056.xml,"[4, 0, 10998, 460, 14]"
112,s7,08_1056.xml,"[0, 10998, 460, 14, 4]"
113,s7,08_1056.xml,"[10998, 460, 14, 4, 88]"
114,s7,08_1056.xml,"[460, 14, 4, 88, 100]"
115,s7,08_1056.xml,"[14, 4, 88, 100, 21]"
116,s7,08_1056.xml,"[4, 88, 100, 21, 5462]"
117,s7,08_1056.xml,"[88, 100, 21, 5462, 5]"
118,s7,08_1056.xml,"[100, 21, 5462, 5, 1703]"
119,s7,08_1056.xml,"[21, 5462, 5, 1703, 7]"
120,s7,08_1056.xml,"[5462, 5, 1703, 7, 982]"
121,s7,08_1056.xml,"[5, 1703, 7, 982, 13395]"
122,s7,08_1056.xml,"[1703, 7, 982, 13395, 21]"
123,s7,08_1056.xml,"[7, 982, 13395, 21, 1263]"
124,s7,08_1056.xml,"[982, 13395, 21, 1263, 107]"
125,s7,08_1056.xml,"[13395, 21, 1263, 107, 201534]"
126,s8,08_1056.xml,"[314, 13, 421, 107, 584]"
127,s8,08_1056.xml,"[13, 421, 107, 584, 201534]"
128,s8,08_1056.xml,"[421, 107, 584, 201534, 1450]"
129,s8,08_1056.xml,"[107, 584, 201534, 1450, 7]"
130,s8,08_1056.xml,"[584, 201534, 1450, 7, 3053]"
131,s8,08_1056.xml,"[201534, 1450, 7, 3053, 1309]"
132,s8,08_1056.xml,"[1450, 7, 3053, 1309, 0]"
133,s8,08_1056.xml,"[7, 3053, 1309, 0, 284]"
134,s8,08_1056.xml,"[3053, 1309, 0, 284, 201534]"
135,s8,08_1056.xml,"[1309, 0, 284, 201534, 5702]"
136,s8,08_1056.xml,"[0, 284, 201534, 5702, 12]"
137,s8,08_1056.xml,"[284, 201534, 5702, 12, 460]"
138,s8,08_1056.xml,"[201534, 5702, 12, 460, 232]"
139,s8,08_1056.xml,"[5702, 12, 460, 232, 3]"
140,s8,08_1056.xml,"[12, 460, 232, 3, 26]"
141,s8,08_1056.xml,"[460, 232, 3, 26, 6612]"
142,s8,08_1056.xml,"[232, 3, 26, 6612, 868]"
143,s8,08_1056.xml,"[3, 26, 6612, 868, 201534]"
144,s8,08_1056.xml,"[26, 6612, 868, 201534, 116]"
145,s8,08_1056.xml,"[6612, 868, 201534, 116, 13]"
146,s8,08_1056.xml,"[868, 201534, 116, 13, 759]"
147,s8,08_1056.xml,"[201534, 116, 13, 759, 396]"
148,s8,08_1056.xml,"[116, 13, 759, 396, 201534]"
149,s8,08_1056.xml,"[13, 759, 396, 201534, 30]"
150,s8,08_1056.xml,"[759, 396, 201534, 30, 10434]"
151,s8,08_1056.xml,"[396, 201534, 30, 10434, 4]"
152,s8,08_1056.xml,"[201534, 30, 10434, 4, 1465]"
153,s8,08_1056.xml,"[30, 10434, 4, 1465, 19]"
154,s8,08_1056.xml,"[10434, 4, 1465, 19, 201534]"
155,s8,08_1056.xml,"[4, 1465, 19, 201534, 201534]"
156,s8,08_1056.xml,"[1465, 19, 201534, 201534, 642]"
157,s8,08_1056.xml,"[19, 201534, 201534, 642, 0]"
158,s8,08_1056.xml,"[201534, 201534, 642, 0, 58]"
159,s8,08_1056.xml,"[201534, 642, 0, 58, 5]"
160,s8,08_1056.xml,"[642, 0, 58, 5, 126]"
161,s8,08_1056.xml,"[0, 58, 5, 126, 201534]"
162,s8,08_1056.xml,"[58, 5, 126, 201534, 1138]"
163,s8,08_1056.xml,"[5, 126, 201534, 1138, 3]"
164,s8,08_1056.xml,"[126, 201534, 1138, 3, 0]"
165,s8,08_1056.xml,"[201534, 1138, 3, 0, 3250]"
166,s8,08_1056.xml,"[1138, 3, 0, 3250, 5]"
167,s8,08_1056.xml,"[3, 0, 3250, 5, 0]"
168,s8,08_1056.xml,"[0, 3250, 5, 0, 19067]"
169,s8,08_1056.xml,"[3250, 5, 0, 19067, 642]"
170,s8,08_1056.xml,"[5, 0, 19067, 642, 0]"
171,s8,08_1056.xml,"[0, 19067, 642, 0, 126]"
172,s8,08_1056.xml,"[19067, 642, 0, 126, 201534]"
173,s8,08_1056.xml,"[642, 0, 126, 201534, 1138]"
174,s8,08_1056.xml,"[0, 126, 201534, 1138, 3]"
175,s8,08_1056.xml,"[126, 201534, 1138, 3, 0]"
176,s8,08_1056.xml,"[201534, 1138, 3, 0, 3250]"
177,s8,08_1056.xml,"[1138, 3, 0, 3250, 13]"
178,s8,08_1056.xml,"[3, 0, 3250, 13, 29]"
179,s8,08_1056.xml,"[0, 3250, 13, 29, 38412]"
180,s8,08_1056.xml,"[3250, 13, 29, 38412, 1521]"
181,s8,08_1056.xml,"[13, 29, 38412, 1521, 25]"
182,s8,08_1056.xml,"[29, 38412, 1521, 25, 904]"
183,s8,08_1056.xml,"[38412, 1521, 25, 904, 304]"
184,s8,08_1056.xml,"[1521, 25, 904, 304, 201534]"
185,s9,08_1056.xml,"[8, 201534, 4408, 19067, 642]"
186,s9,08_1056.xml,"[201534, 4408, 19067, 642, 0]"
187,s9,08_1056.xml,"[4408, 19067, 642, 0, 126]"
188,s9,08_1056.xml,"[19067, 642, 0, 126, 201534]"
189,s9,08_1056.xml,"[642, 0, 126, 201534, 1138]"
190,s9,08_1056.xml,"[0, 126, 201534, 1138, 3]"
191,s9,08_1056.xml,"[126, 201534, 1138, 3, 37]"
192,s9,08_1056.xml,"[201534, 1138, 3, 37, 3053]"
193,s9,08_1056.xml,"[1138, 3, 37, 3053, 13]"
194,s9,08_1056.xml,"[3, 37, 3053, 13, 29]"
195,s9,08_1056.xml,"[37, 3053, 13, 29, 38412]"
196,s9,08_1056.xml,"[3053, 13, 29, 38412, 201534]"
197,s10,08_1056.xml,"[4967, 130, 68, 460, 12]"
198,s10,08_1056.xml,"[130, 68, 460, 12, 0]"
199,s10,08_1056.xml,"[68, 460, 12, 0, 202]"
200,s10,08_1056.xml,"[460, 12, 0, 202, 3109]"
201,s10,08_1056.xml,"[12, 0, 202, 3109, 201534]"
202,s11,08_1056.xml,"[6, 280, 3, 47, 201534]"
203,s11,08_1056.xml,"[280, 3, 47, 201534, 201534]"
204,s11,08_1056.xml,"[3, 47, 201534, 201534, 1450]"
205,s11,08_1056.xml,"[47, 201534, 201534, 1450, 29]"
206,s11,08_1056.xml,"[201534, 201534, 1450, 29, 13782]"
207,s11,08_1056.xml,"[201534, 1450, 29, 13782, 3]"
208,s11,08_1056.xml,"[1450, 29, 13782, 3, 7842]"
209,s11,08_1056.xml,"[29, 13782, 3, 7842, 45401]"
210,s11,08_1056.xml,"[13782, 3, 7842, 45401, 626]"
211,s11,08_1056.xml,"[3, 7842, 45401, 626, 6753]"
212,s11,08_1056.xml,"[7842, 45401, 626, 6753, 421]"
213,s11,08_1056.xml,"[45401, 626, 6753, 421, 107]"
214,s11,08_1056.xml,"[626, 6753, 421, 107, 201534]"
215,s12,08_1056.xml,"[12, 13782, 1623, 1480, 1205]"
216,s12,08_1056.xml,"[13782, 1623, 1480, 1205, 118]"
217,s12,08_1056.xml,"[1623, 1480, 1205, 118, 69579]"
218,s12,08_1056.xml,"[1480, 1205, 118, 69579, 5]"
219,s12,08_1056.xml,"[1205, 118, 69579, 5, 201534]"
220,s12,08_1056.xml,"[118, 69579, 5, 201534, 42]"
221,s12,08_1056.xml,"[69579, 5, 201534, 42, 40]"
222,s12,08_1056.xml,"[5, 201534, 42, 40, 1858]"
223,s12,08_1056.xml,"[201534, 42, 40, 1858, 6]"
224,s12,08_1056.xml,"[42, 40, 1858, 6, 650]"
225,s12,08_1056.xml,"[40, 1858, 6, 650, 1996]"
226,s12,08_1056.xml,"[1858, 6, 650, 1996, 4]"
227,s12,08_1056.xml,"[6, 650, 1996, 4, 0]"
228,s12,08_1056.xml,"[650, 1996, 4, 0, 18905]"
229,s12,08_1056.xml,"[1996, 4, 0, 18905, 3]"
230,s12,08_1056.xml,"[4, 0, 18905, 3, 0]"
231,s12,08_1056.xml,"[0, 18905, 3, 0, 201534]"
232,s13,08_1056.xml,"[409, 21, 179, 3, 2093]"
233,s13,08_1056.xml,"[21, 179, 3, 2093, 0]"
234,s13,08_1056.xml,"[179, 3, 2093, 0, 42454]"
235,s13,08_1056.xml,"[3, 2093, 0, 42454, 10]"
236,s13,08_1056.xml,"[2093, 0, 42454, 10, 69579]"
237,s13,08_1056.xml,"[0, 42454, 10, 69579, 40]"
238,s13,08_1056.xml,"[42454, 10, 69579, 40, 688]"
239,s13,08_1056.xml,"[10, 69579, 40, 688, 29]"
240,s13,08_1056.xml,"[69579, 40, 688, 29, 310]"
241,s13,08_1056.xml,"[40, 688, 29, 310, 1480]"
242,s13,08_1056.xml,"[688, 29, 310, 1480, 901]"
243,s13,08_1056.xml,"[29, 310, 1480, 901, 4]"
244,s13,08_1056.xml,"[310, 1480, 901, 4, 201534]"
245,s13,08_1056.xml,"[1480, 901, 4, 201534, 13]"
246,s13,08_1056.xml,"[901, 4, 201534, 13, 422]"
247,s13,08_1056.xml,"[4, 201534, 13, 422, 441]"
248,s13,08_1056.xml,"[201534, 13, 422, 441, 201534]"
249,s14,08_1056.xml,"[0, 1258, 3, 901, 15]"
